TrainLoss,TestLoss
32.1661376953125,61.947754
19.446380615234375,43.88507
18.86509895324707,48.265106
19.747257232666016,55.33408
21.110525131225586,54.94062
13.567580223083496,54.61458
15.805787086486816,54.218117
13.213703155517578,54.257114
13.2622652053833,54.36635
14.362970352172852,54.193943
12.916044235229492,53.483086
11.873624801635742,53.38854
12.261518478393555,53.453075
14.847965240478516,53.43855
14.19314193725586,53.438602
13.45776081085205,53.438816
14.80615520477295,53.438885
13.385847091674805,53.439472
12.038202285766602,53.439735
13.180410385131836,53.440186
